,,,,,,,,Edition : 12/01/2017
Activité et prix des vins sans IG et des vins IGP Blancs,,,,,,,,
,,Vin sans IG,,,Vin IGP,,,Campagnes
Mois,semaine dans la campagne,en milliers d'hl,en euros/hl,en euros/°hl,en milliers d'hl,en euros/hl,en euros/°hl,
Aug 2000,1,30,37.06,3.37,12,101.35,8.26,2000-2001
,2,7,30.40,2.93,12,63.78,5.28,
,3,6,35.39,3.23,12,61.14,5.33,
,4,10,37.02,3.28,5,64.48,5.34,
Sep 2000,5,7,38.26,3.41,8,57.06,4.83,
,6,13,35.76,3.21,6,76.13,6.30,
,7,17,32.50,3.08,9,59.29,4.94,
,8,19,33.60,3.09,10,67.40,5.64,
,9,10,38.40,3.51,11,62.22,5.06,
Oct 2000,10,12,41.48,3.65,10,61.66,5.22,
,11,16,36.01,3.27,11,61.15,5.19,
,12,22,36.84,3.34,33,59.23,5.10,
,13,13,35.75,3.36,12,65.62,5.23,
Nov 2000,14,24,32.57,3.06,12,67.17,5.71,
,15,7,41.18,3.38,7,66.12,5.39,
,16,15,44.27,3.78,18,69.08,5.55,
,17,29,38.23,3.36,13,64.90,5.42,
Dec 2000,18,44,40.27,3.45,26,63.96,5.39,
,19,36,42.80,3.66,20,61.68,5.15,
,20,28,40.55,3.50,17,67.24,5.54,
,21,43,43.10,3.76,35,67.93,5.59,
,22,29,44.28,3.83,19,69.28,5.72,
Jan 2001,23,9,34.68,3.23,8,69.33,5.68,
,24,63,33.81,3.16,45,66.83,5.46,
,25,52,30.73,2.95,47,68.49,5.54,
,26,97,38.62,3.53,76,64.56,5.39,
Feb 2001,27,44,41.20,3.66,41,67.15,5.49,
,28,36,29.72,2.86,51,66.43,5.33,
,29,21,38.53,3.35,65,60.41,5.00,
,30,22,40.12,3.69,35,67.86,5.58,
Mar 2001,31,65,30.48,2.92,32,65.21,5.30,
,32,68,32.61,3.11,52,67.80,5.52,
,33,29,37.01,3.34,22,67.26,5.37,
,34,67,28.16,2.74,19,68.35,5.56,
,35,31,29.99,2.88,58,68.99,5.60,
Apr 2001,36,20,33.88,3.08,45,61.73,5.19,
,37,20,32.03,3.01,30,69.33,5.56,
,38,11,34.76,3.10,16,65.38,5.27,
,39,23,34.15,3.05,40,59.74,5.04,
May 2001,40,13,34.82,3.17,19,71.36,5.78,
,41,26,32.50,3.00,15,64.15,5.08,
,42,15,30.85,2.83,19,66.41,5.35,
,43,18,33.46,3.15,14,61.28,4.80,
Jun 2001,44,39,28.10,2.63,22,58.21,4.70,
,45,13,39.29,3.40,19,58.51,4.95,
,46,32,28.60,2.65,29,53.73,4.54,
,47,8,36.45,3.18,13,65.95,5.25,
,48,22,31.11,2.81,29,58.24,4.80,
Jul 2001,49,11,36.73,3.26,14,62.21,5.06,
,50,20,27.58,2.59,29,57.86,4.77,
,51,45,29.55,2.69,18,55.34,4.53,
,52,31,31.28,2.80,22,56.92,4.69,
Aug 2001,1,13,36.01,3.09,9,66.08,5.27,2001-2002
,2,5,41.26,3.47,18,60.97,5.06,
,3,5,33.41,2.95,8,57.34,4.57,
,4,11,28.81,2.60,4,59.11,4.71,
Sep 2001,5,10,34.59,2.93,16,60.94,5.04,
,6,14,56.51,4.86,8,56.00,4.53,
,7,16,32.63,2.85,11,63.28,5.00,
,8,13,33.42,2.93,12,56.11,4.73,
,9,7,30.58,2.72,22,63.93,5.33,
Oct 2001,10,14,34.13,2.96,11,60.71,4.94,
,11,8,32.93,2.81,9,64.00,5.25,
,12,8,32.44,2.92,10,65.18,5.35,
,13,9,36.18,3.08,19,64.72,5.28,
Nov 2001,14,6,39.45,3.39,10,67.94,5.72,
,15,12,43.52,3.65,10,68.81,5.58,
,16,19,39.16,3.33,17,66.25,5.24,
,17,43,40.85,3.47,46,63.24,5.23,
Dec 2001,18,38,37.61,3.31,31,62.98,5.24,
,19,32,37.09,3.28,33,66.35,5.40,
,20,32,53.51,4.61,53,63.06,5.22,
,21,52,40.23,3.54,43,65.15,5.18,
,22,25,43.56,3.78,59,66.94,5.33,
Jan 2002,23,5,62.22,5.36,15,71.96,5.64,
,24,40,41.57,3.50,43,67.24,5.31,
,25,29,38.38,3.44,42,64.36,5.13,
,26,18,37.24,3.26,54,63.42,5.01,
Feb 2002,27,28,30.60,2.83,46,66.53,5.34,
,28,24,40.62,3.50,61,64.23,5.24,
,29,26,37.20,3.16,41,70.30,5.48,
,30,47,44.71,3.93,76,62.58,5.19,
Mar 2002,31,27,39.29,3.41,32,68.92,5.50,
,32,46,34.56,3.05,52,61.02,5.04,
,33,34,38.21,3.41,45,62.32,5.05,
,34,44,38.16,3.38,46,64.49,5.27,
,35,22,36.91,3.23,39,61.48,5.09,
Apr 2002,36,30,39.07,3.47,25,65.98,5.19,
,37,13,38.70,3.29,26,61.26,4.86,
,38,34,31.42,2.95,22,62.17,4.98,
,39,13,47.16,4.13,18,68.43,5.47,
May 2002,40,27,33.40,3.04,17,64.04,5.09,
,41,9,41.18,3.51,19,68.22,5.38,
,42,8,38.51,3.32,7,65.60,5.27,
,43,9,34.54,2.98,20,68.99,5.45,
Jun 2002,44,30,28.63,2.73,50,60.41,5.00,
,45,55,26.82,2.60,30,61.95,4.96,
,46,25,33.54,3.05,22,71.11,5.48,
,47,13,41.70,3.63,15,62.09,4.87,
,48,17,39.59,3.55,22,64.65,5.22,
Jul 2002,49,40,33.89,3.21,20,65.43,5.36,
,50,51,28.96,2.84,22,59.96,4.81,
,51,40,29.76,2.86,19,56.35,4.58,
,52,219,24.70,2.49,21,61.64,5.06,
,53,5,44.78,3.86,8,68.44,5.29,
Aug 2002,1,9,55.92,4.86,13,65.29,5.43,2002-2003
,2,2,32.79,2.78,11,59.15,4.92,
,3,10,34.94,3.05,1,54.39,4.30,
,4,16,36.83,3.18,10,67.17,5.28,
Sep 2002,5,6,34.81,2.95,13,66.80,5.28,
,6,9,37.50,3.26,10,101.06,8.05,
,7,11,37.79,3.31,19,59.04,4.99,
,8,11,31.87,3.01,11,65.00,5.36,
,9,7,38.14,3.22,9,63.10,5.30,
Oct 2002,10,8,40.22,3.48,9,76.27,6.11,
,11,12,46.68,3.96,12,74.66,6.18,
,12,17,48.34,4.06,19,65.35,5.46,
,13,17,46.53,3.92,20,63.94,5.43,
Nov 2002,14,17,51.35,4.34,36,67.10,5.71,
,15,22,51.17,4.38,22,77.24,6.23,
,16,24,50.60,4.33,60,68.93,5.69,
,17,23,45.87,3.84,41,74.76,6.09,
Dec 2002,18,35,45.83,3.86,49,74.45,6.07,
,19,84,36.46,3.38,67,79.13,6.44,
,20,92,46.51,4.15,72,68.04,5.61,
,21,36,52.43,4.40,30,77.15,6.29,
,22,5,38.76,3.38,17,74.55,5.91,
Jan 2003,23,16,43.54,3.83,44,76.61,6.03,
,24,105,34.44,3.29,48,72.39,5.93,
,25,36,36.05,3.35,54,76.78,6.19,
,26,19,44.04,3.71,64,79.66,6.36,
Feb 2003,27,36,54.60,4.77,91,68.94,5.71,
,28,13,45.93,3.96,60,73.02,5.93,
,29,25,40.51,3.74,117,68.65,5.82,
,30,15,60.38,5.10,46,78.67,6.27,
Mar 2003,31,78,33.52,3.27,22,79.88,6.35,
,32,12,50.99,4.37,49,76.72,6.30,
,33,92,42.85,4.20,33,77.81,6.24,
,34,13,45.24,3.99,44,76.68,6.13,
,35,10,44.72,3.93,21,77.11,6.11,
Apr 2003,36,11,48.72,4.19,23,77.27,6.27,
,37,2,46.30,3.95,17,68.28,5.66,
,38,6,44.85,4.06,19,72.25,6.04,
,39,30,34.48,3.35,10,81.40,6.56,
May 2003,40,4,69.33,5.65,14,75.56,6.15,
,41,3,50.16,4.19,7,98.45,7.91,
,42,10,49.46,4.31,13,67.93,5.64,
,43,6,38.45,3.58,12,74.25,6.03,
Jun 2003,44,14,38.56,3.65,41,66.93,5.65,
,45,13,45.63,3.99,7,74.34,6.03,
,46,16,41.28,3.80,6,78.52,6.33,
,47,7,67.37,5.89,12,93.89,7.60,
,48,10,57.84,5.14,15,76.90,6.25,
Jul 2003,49,7,48.17,4.20,19,76.87,6.23,
,50,4,48.33,4.06,13,63.77,5.42,
,51,9,60.97,5.17,9,76.97,6.26,
,52,3,44.33,3.84,20,71.44,6.03,
Aug 2003,1,4,46.50,3.97,11,65.13,5.55,2003-2004
,2,1,49.67,4.16,2,85.58,6.83,
,3,2,52.41,4.49,2,103.20,8.44,
,4,1,40.88,3.45,6,86.33,6.92,
Sep 2003,5,4,43.53,3.67,7,87.67,7.14,
,6,4,60.86,5.46,10,82.78,6.75,
,7,7,55.22,4.79,5,70.33,5.94,
,8,7,48.69,4.42,7,68.80,5.75,
,9,7,41.16,3.67,7,72.40,6.26,
Oct 2003,10,10,56.44,4.85,14,79.23,6.62,
,11,16,53.82,4.61,15,76.49,6.44,
,12,23,50.95,4.45,14,75.35,6.28,
,13,17,53.20,4.51,20,78.14,6.57,
Nov 2003,14,25,53.66,4.52,23,76.65,6.35,
,15,38,46.25,4.07,32,75.62,6.41,
,16,93,50.47,4.41,55,85.69,6.97,
,17,82,46.57,4.06,75,81.76,6.79,
Dec 2003,18,33,56.30,4.83,46,87.13,7.10,
,19,36,57.46,4.86,81,80.42,6.56,
,20,45,52.24,4.51,65,86.23,6.94,
,21,27,55.17,4.66,55,85.64,6.85,
,22,3,63.84,4.94,10,92.19,7.38,
Jan 2004,23,10,59.83,5.01,16,79.49,6.57,
,24,42,47.15,4.11,53,81.47,6.61,
,25,109,45.08,4.01,66,86.99,6.93,
,26,62,50.88,4.46,55,83.29,6.77,
Feb 2004,27,70,46.84,4.10,70,81.36,6.66,
,28,42,48.41,4.28,40,88.09,6.95,
,29,32,44.68,3.99,75,75.55,6.24,
,30,21,43.89,3.87,30,87.37,7.01,
Mar 2004,31,4,50.64,4.33,36,85.60,6.90,
,32,9,53.71,4.45,34,77.43,6.25,
,33,47,48.41,4.23,33,80.24,6.46,
,34,18,54.59,4.66,33,86.44,6.85,
,35,13,57.28,5.02,23,82.62,6.73,
Apr 2004,36,2,55.72,4.65,43,72.45,6.01,
,37,6,56.81,4.75,40,73.43,6.19,
,38,20,46.29,4.04,20,98.33,7.83,
,39,4,51.38,4.23,15,81.91,6.52,
May 2004,40,6,60.72,5.18,23,80.35,6.58,
,41,3,49.72,4.28,15,79.65,6.44,
,42,6,51.76,4.44,20,82.23,6.53,
,43,2,53.37,4.42,12,86.70,6.90,
Jun 2004,44,3,56.89,4.79,16,82.15,6.71,
,45,4,53.12,4.43,17,71.86,5.93,
,46,4,51.31,4.15,48,69.04,5.90,
,47,5,69.75,5.82,16,85.47,7.09,
,48,10,49.92,4.22,9,75.08,6.02,
Jul 2004,49,4,51.48,4.40,23,75.64,6.19,
,50,4,56.15,4.79,5,83.41,6.51,
,51,3,50.43,4.32,8,100.61,7.85,
,52,7,56.25,4.61,17,65.02,5.46,
Aug 2004,1,ns,ns,ns,12,67.39,5.69,2004-2005
,2,3,72.37,5.99,4,67.29,5.34,
,3,2,49.05,4.36,8,83.37,6.53,
,4,2,57.17,4.96,13,76.36,6.20,
Sep 2004,5,2,46.40,3.87,5,75.45,6.01,
,6,2,44.04,3.77,9,69.34,5.67,
,7,3,47.80,4.05,11,72.07,6.00,
,8,2,54.57,4.50,4,77.83,6.19,
,9,3,47.00,4.03,6,78.07,6.26,
Oct 2004,10,3,54.14,4.40,8,83.91,6.73,
,11,4,45.66,3.90,7,71.59,5.76,
,12,7,56.24,4.67,13,86.59,6.99,
,13,8,57.37,4.75,25,67.91,5.78,
Nov 2004,14,9,47.23,4.06,11,74.71,6.23,
,15,7,46.73,3.98,7,69.37,5.76,
,16,10,46.79,4.07,9,73.68,5.95,
,17,24,44.70,3.84,24,72.99,6.08,
Dec 2004,18,17,51.07,4.47,36,69.99,5.79,
,19,67,50.35,4.26,64,70.85,5.92,
,20,45,42.04,3.74,51,74.08,5.98,
,21,28,52.41,4.43,25,77.90,6.20,
,22,32,40.56,3.65,20,70.17,5.61,
Jan 2005,23,36,57.15,4.90,103,63.77,5.45,
,24,34,52.69,4.50,34,70.49,5.67,
,25,22,40.61,3.72,111,70.90,5.95,
,26,12,57.53,4.80,51,75.58,6.17,
Feb 2005,27,15,55.19,4.44,70,72.79,5.80,
,28,24,46.29,4.00,50,72.08,5.71,
,29,14,51.24,4.31,66,70.99,5.70,
,30,14,39.89,3.66,31,68.53,5.55,
Mar 2005,31,15,43.53,3.84,33,66.23,5.22,
,32,10,50.75,4.32,29,68.32,5.44,
,33,31,36.31,3.41,29,69.79,5.57,
,34,27,40.27,3.74,59,62.96,5.19,
,35,46,32.06,3.18,20,66.90,5.40,
Apr 2005,36,29,34.46,3.36,28,68.30,5.38,
,37,11,40.70,3.81,26,83.60,6.60,
,38,5,39.26,3.41,24,72.79,5.79,
,39,18,32.77,3.22,11,66.44,5.37,
May 2005,40,5,40.55,3.43,43,69.59,5.80,
,41,23,30.69,3.03,17,63.54,5.22,
,42,7,39.74,3.33,8,68.71,5.60,
,43,15,41.43,3.62,29,77.43,6.32,
Jun 2005,44,9,38.00,3.25,24,61.95,5.12,
,45,12,37.41,3.18,16,70.80,5.71,
,46,11,39.47,3.43,17,68.29,5.47,
,47,9,61.95,5.06,13,64.19,5.07,
,48,18,33.37,2.89,14,59.58,4.76,
Jul 2005,49,6,30.73,2.64,14,62.81,4.89,
,50,11,54.04,4.67,67,64.11,5.45,
,51,12,39.90,3.51,15,63.12,5.10,
,52,17,43.07,3.66,36,63.09,5.20,
Aug 2005,1,10,53.21,4.52,15,67.57,5.57,2005-2006
,2,5,36.61,2.85,15,59.38,4.89,
,3,2,37.77,3.09,7,71.27,5.65,
,4,5,33.67,2.78,6,61.62,4.99,
Sep 2005,5,11,30.49,2.56,20,69.15,5.55,
,6,6,31.82,2.70,25,70.41,5.55,
,7,5,34.11,2.75,14,79.64,6.34,
,8,12,33.26,2.82,12,68.27,5.39,
,9,4,28.11,2.47,10,52.72,4.21,
Oct 2005,10,4,35.73,2.94,12,73.73,5.79,
,11,3,45.82,3.93,13,62.14,4.99,
,12,17,32.17,2.77,10,66.52,5.42,
,13,11,43.23,3.55,5,57.84,4.66,
Nov 2005,14,7,40.55,3.58,9,58.39,4.88,
,15,10,44.39,3.62,22,60.82,4.90,
,16,12,37.03,3.22,21,65.99,5.30,
,17,25,41.55,3.65,24,64.24,5.12,
Dec 2005,18,10,34.99,3.09,21,65.54,5.15,
,19,41,45.84,3.88,46,63.94,5.12,
,20,31,44.71,3.87,50,66.93,5.27,
,21,69,34.74,3.09,99,67.30,5.51,
,22,14,44.80,3.70,54,65.92,5.31,
Jan 2006,23,7,40.99,3.45,19,60.78,4.75,
,24,41,44.42,3.81,75,57.77,4.77,
,25,44,41.77,3.64,66,61.17,5.04,
,26,40,31.74,2.93,41,66.13,5.20,
Feb 2006,27,23,43.51,3.69,47,64.10,5.19,
,28,28,41.28,3.46,53,63.55,5.05,
,29,9,39.44,3.35,65,60.89,4.95,
,30,19,42.25,3.57,37,58.34,4.76,
Mar 2006,31,7,40.18,3.40,33,69.66,5.43,
,32,12,41.51,3.58,21,64.14,5.08,
,33,11,37.48,3.20,50,63.96,5.11,
,34,20,39.95,3.36,41,59.19,4.70,
,35,9,35.18,2.93,15,61.27,4.84,
Apr 2006,36,16,33.51,3.04,36,64.29,5.12,
,37,23,39.45,3.35,40,56.32,4.56,
,38,10,49.64,4.28,56,61.40,5.04,
,39,12,44.35,3.58,20,64.39,5.04,
May 2006,40,6,31.65,2.68,15,65.61,5.09,
,41,8,32.48,2.76,12,60.07,4.77,
,42,11,47.61,3.99,25,60.84,4.82,
,43,7,42.87,3.46,19,63.32,4.92,
Jun 2006,44,5,37.56,3.10,21,61.67,4.79,
,45,6,33.50,2.94,25,55.11,4.50,
,46,9,29.55,2.48,42,57.62,4.78,
,47,10,32.53,2.77,15,60.90,4.78,
,48,11,34.30,2.88,26,61.48,4.88,
Jul 2006,49,11,34.13,2.93,18,59.58,4.75,
,50,13,34.34,2.92,31,61.69,4.93,
,51,10,50.37,4.08,10,56.38,4.38,
,52,6,32.37,2.76,12,55.55,4.39,
Aug 2006,1,2,32.19,2.69,17,51.88,4.13,2006-2007
,2,3,30.51,2.62,11,53.84,4.28,
,3,2,31.06,2.57,8,74.31,5.78,
,4,3,32.12,2.62,9,54.38,4.33,
Sep 2006,5,17,38.84,3.25,8,66.59,5.26,
,6,8,30.79,2.60,30,62.13,5.17,
,7,8,37.71,3.11,9,61.04,4.89,
,8,8,35.60,3.03,12,62.63,5.02,
,9,14,37.21,3.01,13,53.67,4.27,
Oct 2006,10,10,36.38,3.02,11,55.27,4.34,
,11,7,31.80,2.70,13,54.08,4.27,
,12,20,37.71,3.32,20,59.40,4.74,
,13,10,36.69,3.24,27,60.70,5.00,
Nov 2006,14,20,41.95,3.44,9,62.52,4.97,
,15,45,35.39,3.14,38,59.99,4.85,
,16,25,35.48,3.12,52,67.15,5.36,
,17,54,39.99,3.41,41,61.24,4.91,
Dec 2006,18,26,40.15,3.43,74,64.29,5.16,
,19,72,42.88,3.70,33,62.77,4.96,
,20,21,39.86,3.37,61,62.16,4.97,
,21,16,44.07,3.75,75,61.50,5.01,
,22,21,36.74,3.18,66,63.96,5.22,
Jan 2007,23,27,39.23,3.45,48,67.97,5.47,
,24,71,37.40,3.34,41,61.06,4.77,
,25,30,37.23,3.23,68,63.68,4.99,
,26,36,39.36,3.47,43,63.37,5.02,
Feb 2007,27,10,43.51,3.70,52,60.83,4.78,
,28,23,40.82,3.47,58,57.06,4.65,
,29,13,40.51,3.41,49,66.38,5.20,
,30,17,41.46,3.60,55,59.54,4.83,
Mar 2007,31,14,46.64,3.90,42,64.57,5.13,
,32,37,48.83,4.13,64,64.62,5.13,
,33,25,39.70,3.45,37,62.53,4.98,
,34,10,42.72,3.64,51,58.40,4.79,
,35,17,45.35,3.83,72,59.48,4.93,
Apr 2007,36,16,49.91,4.21,34,63.41,4.98,
,37,7,44.40,3.89,22,61.19,4.81,
,38,10,37.93,3.11,30,61.27,4.76,
,39,14,45.50,3.80,26,60.13,4.73,
May 2007,40,5,45.50,3.32,15,62.47,4.85,
,41,2,36.45,3.03,11,59.04,4.62,
,42,6,43.64,3.59,22,66.70,5.22,
,43,11,60.52,4.82,16,60.86,4.69,
Jun 2007,44,7,42.95,3.55,24,66.91,5.31,
,45,12,37.27,3.08,18,58.66,4.62,
,46,14,65.01,5.40,24,61.41,4.76,
,47,11,42.84,3.65,46,61.22,5.07,
,48,3,32.23,2.69,13,59.86,4.72,
Jul 2007,49,10,50.68,4.14,15,71.10,5.57,
,50,8,35.19,3.04,18,59.16,4.69,
,51,7,38.57,3.29,17,61.28,4.84,
,52,6,41.43,3.20,18,62.15,4.83,
,53,6,58.13,4.70,16,77.31,5.94,
Aug 2007,1,3,38.68,3.39,25,56.05,4.66,2007-2008
,2,5,59.21,4.72,13,61.57,4.78,
,3,ns,ns,ns,5,68.88,5.39,
,4,1,46.79,4.04,11,60.19,4.70,
Sep 2007,5,3,41.28,3.32,9,63.08,4.97,
,6,11,39.54,3.47,8,63.18,4.94,
,7,15,39.50,3.45,12,60.76,4.88,
,8,15,40.67,3.52,11,63.91,5.21,
,9,8,48.73,4.11,9,70.86,5.71,
Oct 2007,10,4,48.01,4.00,6,74.54,5.90,
,11,3,47.20,3.92,15,78.85,6.32,
,12,29,43.88,3.76,13,68.19,5.65,
,13,18,46.22,3.95,14,70.73,5.63,
Nov 2007,14,16,44.36,3.70,66,76.48,6.02,
,15,31,51.72,4.30,28,70.32,5.63,
,16,32,53.94,4.56,57,80.16,6.27,
,17,39,53.62,4.70,50,79.12,6.19,
Dec 2007,18,60,54.07,4.63,114,77.29,6.12,
,19,38,64.08,5.29,105,78.41,6.23,
,20,24,64.40,5.55,61,82.99,6.48,
,21,39,62.00,5.32,73,77.42,6.15,
,22,32,62.15,5.31,23,83.99,6.65,
Jan 2008,23,17,46.06,3.97,41,78.58,6.28,
,24,18,54.87,4.75,90,75.63,6.00,
,25,37,59.08,5.12,146,78.47,6.41,
,26,13,51.79,4.45,72,80.33,6.43,
Feb 2008,27,16,55.19,4.59,86,78.32,6.28,
,28,28,62.23,5.36,128,83.39,6.67,
,29,25,66.96,5.84,38,87.18,6.91,
,30,5,56.93,4.82,27,86.96,6.80,
Mar 2008,31,8,50.25,4.33,35,85.03,6.73,
,32,7,54.92,4.79,24,80.27,6.39,
,33,10,51.71,4.35,31,81.88,6.70,
,34,17,48.56,4.14,21,79.44,6.41,
,35,3,56.20,4.94,25,78.31,6.44,
Apr 2008,36,23,69.21,5.76,33,81.66,6.49,
,37,2,55.03,4.59,21,82.60,6.61,
,38,7,59.49,4.91,15,83.14,6.63,
,39,9,62.75,5.50,17,84.01,6.78,
May 2008,40,2,56.79,4.70,4,95.07,7.60,
,41,3,50.88,4.16,6,84.16,6.59,
,42,3,55.84,4.76,8,85.56,6.73,
,43,3,46.27,3.96,25,77.73,6.44,
Jun 2008,44,1,44.20,3.62,10,91.22,7.18,
,45,4,59.55,5.25,21,83.67,6.87,
,46,6,60.29,5.26,9,88.03,6.88,
,47,4,45.55,3.82,13,75.06,6.15,
